	value	group
A6	18.31416	B. lon 32
A7	18.31416	B. lon 32
A8	21.17904	B. lon 32
A9	20.26912	B. lon 32
A10	22.73834	B. lon 32
A16	19.0078	B. lon 63
A17	23.07088	B. lon 63
A18	20.9988	B. lon 63
A19	23.35916	B. lon 63
A20	18.47418	B. lon 63
A31	0.80988	B. lon 64
A32	1.21508	B. lon 64
A33	1.0261	B. lon 64
A34	1.6836	B. lon 64
A35	0.93492	B. lon 64
