	L6_T0_1	L6_T0_2	L6_T0_3	L6_T0_4	L6_T0_5	L6_T0_6	L6_T0_7	L6_T0_8	L6_T0_9	L6_T0_10	L6_T0_11	L6_T0_12	L6_T0_13	L6_T0_14	L6_T0_15	L6_T0_16	L6_T1_1	L6_T1_2	L6_T1_3	L6_T1_4	L6_T1_5	L6_T1_6	L6_T1_7	L6_T1_8	L6_T1_9	L6_T1_10	L6_T1_11	L6_T1_12	L6_T1_13	L6_T1_14	L6_T1_15	L6_T1_16	8M1_T0_1	8M1_T0_2	8M1_T0_3	8M1_T0_4	8M1_T0_5	8M1_T0_6	8M1_T0_7	8M1_T0_8	8M1_T0_9	8M1_T0_10	8M1_T0_11	8M1_T0_12	8M1_T1_1	8M1_T1_2	8M1_T1_3	8M1_T1_4	8M1_T1_5	8M1_T1_6	8M1_T1_7	8M1_T1_8	8M1_T1_9	8M1_T1_10	8M1_T1_11	8M1_T1_12	6M4_T0_1	6M4_T0_2	6M4_T0_3	6M4_T0_4	6M4_T0_5	6M4_T0_6	6M4_T0_7	6M4_T0_8	6M4_T0_9	6M4_T0_10	6M4_T0_11	6M4_T0_12	6M4_T0_13	6M4_T1_1	6M4_T1_2	6M4_T1_3	6M4_T1_4	6M4_T1_5	6M4_T1_6	6M4_T1_7	6M4_T1_8	6M4_T1_9	6M4_T1_10	6M4_T1_11	6M4_T1_12	6M4_T1_13
Ochrobactrum_intermedium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ochrobactrum_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00688	0	0	0	0	0	0
Achromobacter_piechaudii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00058	0	0	0	0	0	0.15445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00248	0	0	0	0	0	0.06464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes_unclassified	0	0	0.07517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.60663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oligella_urethralis	0	0	0.01751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143	0	0.00644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderiales_bacterium_1_1_47	0	0	0	0.24746	0.13497	0	0.05936	0.13448	0	0	0.00081	0	1.59799	0	0	0.06588	0	0	0	0	0	0.04119	0	0.00378	0	0	0	0	0	0.03137	0	0	0	0.02142	0.1328	0.00545	0	0	0	0	0	0	0	0.1017	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0	0	0	0.00251	0	0	0.20978	0	0.10125	0	0.63652	0	0.11801	0	0	0	0	0	0	0.00572	0.00041	0.37694	0
Comamonas_testosteroni	0	0	0	0	0	0	0	0	0	0	0.29946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Comamonas_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00479	0	0	0	0	0	0	0	9.42223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delftia_acidovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02959	0	0	0	0	0	0
Delftia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01907	0	0	0	0	0	0
Oxalobacter_formigenes	0	0	0	0	0	0.01655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02676	0	0	0	0	0	0	0	0	0	0	0.00398	0	0.05651	0	0	0	0	1.50241	0	0.34013	0.00483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasutterella_excrementihominis	0	0	0	0.35932	0.0107	0	0.11819	0.31063	0	0	0	0	0.55688	0	0	0.04294	0	0	0	0	0	0.00166	0	0.01087	0	0	0	0	0	0.0083	0	0	0	0	0.01806	0.00162	0	0	0	0	0.00027	0	0	0.03841	0	0	0	0	0	0.00121	0	0	0	0	0	0	0	0	0	0	0	0	0.102	0	0	0.1333	0	0.00347	0	0.09989	0	0.01041	0	0	0	0	0	0	0.00355	0.00115	0.01032	0
Eikenella_corrodens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03285	0	0	0	0	0	0	0	0	0	0	0
Bilophila_unclassified	4.6985	0.25054	0.01923	0.2781	0	0.35231	0.76017	0.13233	0	0	0.00376	0.00135	1.15297	0.04501	0	1.30443	0.59796	0	0.27023	0	0	0	0.15027	0.00126	0.00049	0.2756	0.0036	0	0	0.10274	0	0.06743	0.00232	0.60707	0	0.78418	1.65405	1.74035	0	0	0.10281	0	0.04281	0.43304	0	0.08663	0.03652	0	0.00112	0.04936	0	0.18007	0	0.00247	0	0.81363	0.00256	0	0.03503	0.26971	0	1.54001	0.43552	0.03244	0.00088	3.56957	0.20204	0	0.31451	0	0.0078	0	0.2233	0	0.35308	0	0	0	0.27704	0.22242	0	0.56123
Bilophila_wadsworthia	0.25135	0.00689	0	0.01109	0	0.04718	0.01901	0.0166	0	0	0	0	0.07391	0.01158	0	0.03841	0.04452	0	0.01791	0	0	0	0.01573	0	0	0.00709	0	0	0	0	0	0.00146	0	0.01976	0	0.10823	0.11792	0.09649	0	0	0.00563	0	0	0.06403	0	0	0	0	0	0.00132	0	0.02097	0	0	0	0	0	0	0.00057	0	0	0	0.0043	0	0	0.29323	0.01336	0	0.04708	0	0	0	0	0	0	0	0	0	0	0.00024	0	0.04765
Desulfovibrio_desulfuricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21737	0.03345	0	0	0	0	0	0.06627	0	0	0.00989	0	0	0	0	0.0178	0.08575	0	0.49644	0	0	0	0	0	0	0	0	0	0.14251	0	0.01068	0	0	0	0	0	0	0	0.04205	0.16559	0.07358	0.03338	0	0	0.00586	0	0	0	0	0	0	0	0	0	0.0293	0	0	0	0	0	0	0	0	0
Desulfovibrio_piger	0	0	0	0	0	0.31524	0.23505	0.11955	0	0	0	0	0	0.01263	0	0	0	0	0	0	0	0	0.08383	0	0.00164	0	0	0	0	0	0	0	0.01395	0	0	0.97117	0	0.74692	0	0	0.2071	0	0.04101	0.25575	0	0	0	0	0	0.13851	0	0	0	0.02775	0	0	0	0	0	0	0	0	0.21306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_gracilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00635	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_rectus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_showae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00032	0	0	0	0	0	0	0	0	0.07138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter_freundii	0	0	0.04361	0	1.61869	0.02141	0	0	0	0	0	0	0	0	0	0	0	0.00763	0.00261	0	0	0.01472	0.94611	0	0.58958	0	0	0	1.00967	0	0.01075	0	0	0	0	0	0	0	0.19024	0	0	0.00459	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171	0.01215	0	0.01717	0	0	0	0	0	0	0	0	0	0	0	0.01406	0	0	0	0	0	0	0	0	0	0	0
Citrobacter_unclassified	0.00493	0	0	0	0.31286	0.04218	0	0	0	0	0	0	0	0	0	0	0	0.00948	0.00037	0	0	0.00382	0.08538	0	0.17783	0	0	0	1.41451	0	0.00724	0	0	0	0	0	0	0	0.04146	0	0	0.55643	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01161	0.00558	0	0.00738	0	0	0	0	0	0	0	0	0	0	0	0.06798	0	0	0	0	0	0	0	0	0	0	0
Cronobacter_malonaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter_sakazakii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_aerogenes	0	0	0	0	0.00088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00599	0	0.02024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter_cloacae	0.08859	0.27723	0.24102	0	0.01707	0.00192	0	0	0.00408	0.01351	0	0.0414	0.0094	0	0.01363	0	0	0.02852	0.03048	0.73883	0	0.0215	0.08294	0	0.04546	0.01857	0	0	1.11289	0	0.17937	0.03629	0	0.32887	0.00933	0.4123	0	0	0	0.10706	0.14326	0	0.00138	0.05814	0	0	0	0	0	0.04009	0	0.00434	0	0.00134	0	0.07014	0.023	0	0.03214	0.00616	0.18375	0	0.00571	0	0	0	0	0	0.01107	0	0	0	0	0	0	0	0.21546	0.03216	0	0	0	0
Escherichia_coli	0.75454	0.36117	19.03318	0.0324	2.00156	27.93464	0.18834	16.07964	22.55315	37.75262	6.33416	31.89753	1.71219	10.11656	0.19387	0.80463	6.82167	56.07526	25.11942	57.36337	0.02814	0.25404	31.47192	1.30338	31.49037	3.33963	3.60856	0.15667	13.55591	1.98067	49.2276	4.66519	30.16886	0	0.86249	1.43517	4.38106	0.91431	18.17074	15.40735	6.84339	14.47306	5.60052	6.88562	0.18675	12.07333	8.44771	3.734	4.04202	4.06805	0.86426	2.5874	61.22907	9.08968	1.48286	4.68672	14.09514	8.34348	13.8108	1.64419	4.74943	0.56969	1.98624	0.02549	0.28326	0.95169	0.0645	2.19291	4.08535	0.64868	35.70821	10.9868	0.62234	0.83512	0.63347	0.7045	0	6.68408	0.64455	0.93546	0.19985	9.18058
Escherichia_unclassified	0.49249	0.11861	3.09854	0	0.80021	14.32721	0	2.49939	12.91578	2.32906	4.04972	0	0	2.51806	0.15738	0.56602	0	21.15201	13.73566	15.67782	0.0243	0.43628	25.60973	0	16.91278	0	1.13731	0.08698	5.70314	0.56331	13.08507	2.10364	0	0.01077	0.57699	0.61493	0.46609	0.77242	3.79404	7.4343	3.6065	8.62034	2.41645	1.47197	0.0876	2.43396	4.19834	0.88962	0.08558	1.6849	0.38183	1.17689	0.47793	2.1739	0.80133	2.0283	4.34879	2.18998	5.8843	0.61884	0	0.24787	0.68891	0	0.06369	0.10943	0.03244	0.65559	1.5265	0	13.36777	3.87316	0.1326	0.22138	0.15317	0.06305	0	2.33805	0.20208	0.61014	0.07838	4.58171
Klebsiella_oxytoca	0	0	0	0	0	0	0	0	0	0	0	0.03531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00207	0	0	0	0	0	0	0.8711	0	0	0	0	0	0	0
Klebsiella_pneumoniae	27.72452	0.01148	2.09913	0	4.09178	1.30127	0	0.04102	0.69227	0.0404	0.29015	0.37755	0.33462	0.02393	0.05298	0.41993	0.14675	0.21901	3.8913	0	0	0.13074	0.60334	0	0.50003	0.48065	0.01122	1.03803	1.65648	9.68472	0.32478	0.36607	0	7.03689	0.08124	31.40787	0	0.01285	1.37754	0.14715	0.0271	0	0.054	0.60371	0.12397	0	4.52413	0	1.77882	0.24758	0	0.11439	0.00679	0.0386	0	1.50541	6.19974	0	10.65683	0.14263	0.04135	0	0.0503	0	0	0	6.62161	0.01293	0.51495	0.00691	0	0	0	0.53801	0.60014	0.28878	0	0.40731	0.19278	0.10251	0	0
Klebsiella_unclassified	0	0.0069	0	0	0	0	0	0.02364	0	0.06217	0	0.05872	0	0	0	0.41263	0	0	0.69354	0	0	0	0	0	0.14385	0	0	0.01484	0.82495	0	0	0	0	0	0	0	0	0	0	0	0.09439	0	0.01252	0.05227	0.02338	0	0	0	0	0	0.01603	0	0.00984	0	0	0	0	0.00856	0	0	0.0751	0	0	0	0	0.02051	0	0.05262	0	0.00001	0	0.01863	0.00225	0	0	0.09584	0	0	0	0.00177	0	0
Morganella_morganii	0	0	0	0	0	0.03124	0	0	0.00428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06611	0	0	0	0	0	0	0	0	0	0	0	0.01311	0	0.11518	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteus_mirabilis	0	0	3.83403	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02436	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02085	0	0	0	0	0	0	0	0.00813	0	0	0	0	0	0	0	0	0	0.00872	0	0.02263	0	0	0	0
Providencia_rettgeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Providencia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raoultella_ornithinolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shigella_sonnei	0	0	0	0	0	0	0	0	0	0	0.01936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus_parainfluenzae	0.00055	0.2262	0	0.00145	0	0	0	0.00506	0	0	0	0	0.06944	0	3.08604	0.0125	0.03465	0	0	0	0	0	0	0	0	0.07699	0	0	0	0	0	0	0	0	0.5188	0	0	0	0	0.00763	0.00222	0	0	0	0	0	0	0	0	0.01863	0	0	0	0	0	0.13471	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0.79207	2.65764	0	0	0	0	0	1.78156	0
Haemophilus_sputorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02053	0	0	0	0	0	0	0	0
Acinetobacter_baumannii	0	0	0.02522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01279	0	0	0	0	0	0	0
Acinetobacter_indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02083	0	0	0	0	0	0	0	0	0	0	0	0.00352	0	0.02439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00566	0	0	0	0	0	0
Acinetobacter_junii	0	0	0	0	0	1.75272	0	0	0	0	0.07621	0	0	0	0	0	0	0.30056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_pittii_calcoaceticus_nosocomialis	0	0	0	0	0	0	0	0	0	0	0.03298	0	0	0	0	0	0	0.26387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_unclassified	0	0	0.57397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098	0	0.00114	0	0	0	0	0	0.00412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01503	0	0	0	0	0	0	0
Pseudomonas_aeruginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04342	0	0	0	0	0	0	0.00243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_putida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01456	0	0	0	0	0	0
Pseudomonas_unclassified	0	0	0.18674	0	0	0	0	0	0.06022	0	0	0.04354	0	0.01168	0	0	0	0	0.00861	0	0	0	0	0	0.06584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01573	0	0	0.0138	0	0	0	0	0	0.02385	0	0	0	0.00634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0365	0	0	0	0	0	0
Stenotrophomonas_maltophilia	0	0	0.05399	0	0	0	0	0	0.01186	0	0	0.01011	0	0	0	0	0	0	0	0	0	0	0	0	0.39911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyramidobacter_piscolens	0	0	0	0	0.00731	0.12022	1.24606	0	0	0	0	0.00135	0	0	0	0	0	0	0	0.01786	0	0	0.09703	0	0	0.13207	0	0	0.03734	0.36341	0	0.00451	0.66298	0	0.0017	0.22473	0.00979	0	0	0	0	0	1.43357	2.66817	0	0.00614	0	0	0.25802	0	0	0.13675	0	0.00606	0	0	6.56519	0.27249	9.88503	2.18776	0	0	0	0	0	0	0	0	0.4573	0	0	0	0.00263	0	0	0	0	0	0	0	0	0
Synergistes_sp_3_1_syn1	0	0	0	0	0	0.96253	0	0	0	0	0	0	0	0	0	0	0	0.0859	0.26273	0	0	0	0.8043	0	0	0	0	0	0	0	0	0	0	0	0	1.15126	0	0	0	0	0	0	4.16306	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23393	0	0.46755	0.26694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia_muciniphila	0.52812	0.52255	0.01247	0.05952	0	0.00832	0	0	0	0	0.05225	0.07718	0	0	0	0.00652	0	0.00636	1.19859	17.57136	0.2156	0	0.00505	8.98418	2.37269	0.52427	0.00294	0	0.77023	0	0.51539	14.98727	2.70904	4.79754	0.00481	0	3.72526	0	1.14874	0.00574	18.48275	10.21084	0.07123	0	0	0.56973	1.27755	0.09549	0.04361	5.34568	0	1.47657	0.22322	4.6068	0	0.2077	0	0	0	0.29901	0	0	0.05746	0.57456	44.31271	1.17839	0.17588	2.66848	1.79355	0.82547	3.17113	0	3.16615	1.24885	0	0	1.4501	52.90296	4.27826	5.78125	0	0.22272
