	L6_T0_1	L6_T0_2	L6_T0_3	L6_T0_4	L6_T0_5	L6_T0_6	L6_T0_7	L6_T0_8	L6_T0_9	L6_T0_10	L6_T0_11	L6_T0_12	L6_T0_13	L6_T0_14	L6_T0_15	L6_T0_16	L6_T1_1	L6_T1_2	L6_T1_3	L6_T1_4	L6_T1_5	L6_T1_6	L6_T1_7	L6_T1_8	L6_T1_9	L6_T1_10	L6_T1_11	L6_T1_12	L6_T1_13	L6_T1_14	L6_T1_15	L6_T1_16	8M1_T0_1	8M1_T0_2	8M1_T0_3	8M1_T0_4	8M1_T0_5	8M1_T0_6	8M1_T0_7	8M1_T0_8	8M1_T0_9	8M1_T0_10	8M1_T0_11	8M1_T0_12	8M1_T1_1	8M1_T1_2	8M1_T1_3	8M1_T1_4	8M1_T1_5	8M1_T1_6	8M1_T1_7	8M1_T1_8	8M1_T1_9	8M1_T1_10	8M1_T1_11	8M1_T1_12	6M4_T0_1	6M4_T0_2	6M4_T0_3	6M4_T0_4	6M4_T0_5	6M4_T0_6	6M4_T0_7	6M4_T0_8	6M4_T0_9	6M4_T0_10	6M4_T0_11	6M4_T0_12	6M4_T0_13	6M4_T1_1	6M4_T1_2	6M4_T1_3	6M4_T1_4	6M4_T1_5	6M4_T1_6	6M4_T1_7	6M4_T1_8	6M4_T1_9	6M4_T1_10	6M4_T1_11	6M4_T1_12	6M4_T1_13
Solobacterium_moorei	0.00226	0	0.02708	0	0.00145	0.00302	0	0	0.00927	0.01236	0.00295	0.00139	0.04512	0	0.00069	0	0	0.02811	0	0.00643	0.00796	0	0	0.00297	0	0.00145	0.03677	0	0.02012	0	0.09734	0	0.00192	0.02926	0	0	0.00679	0	0	0.00499	0	0.00025	0.05951	4.26181	0	0.00363	0.65032	0.00158	0.00614	0	0.0156	0.01588	0	0	0	0	0.02678	0	0.06853	0	0.07125	0	0.02852	0	0.0105	0	0	0	0.00378	0.00017	0.01641	0	0	0	0	0	0	0.00129	0	0	0	0
Turicibacter_sanguinis	0	0	0.03715	0	0	0.18494	0	0	0.12074	0	0	0	0	0	0	0	0	0.00048	0	0	0	0	0.04749	0	0	0.00195	0	0	0.27697	0	0.19864	0.00084	0	0	0	0.33901	0	0	0	1.70871	0.11519	0.41495	0.40155	0	0	0	0.25241	0	0.06457	0.08413	0.27548	1.87103	0	0.0061	0	0.12103	0.00354	0.07055	0.00165	0	0	0	0	0	0	0	0	0	2.40359	0	0.38013	0	0	0	0	0	0	0	0.18674	0.24415	0	0
Turicibacter_unclassified	0	0	0.13272	0	0	0.54525	0	0	0.39066	0	0	0	0	0	0	0	0	0.01155	0	0	0	0	0.12241	0	0	0.00605	0	0	0.67269	0	0.68561	0.00292	0	0	0.00519	1.09714	0	0	0	1.68563	0.12735	0.33453	0.45359	0.00887	0	0	0.53171	0	0.07995	0.12472	0.36731	1.69818	0	0.00274	0	0.10026	0.00084	0.10338	0	0	0	0	0	0	0	0	0	0	2.57112	0	0.34644	0	0	0	0	0	0	0	0.24405	0.29481	0	0
Acidaminococcus_fermentans	0	0	0	0	0	0	0.2596	0	0	0	0	0	0	0	0	0.08065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01056	0	0	0	0	0	0	0	0.00016	0.04893	0	0	0	0	0	0	0	0	0	0	0	0.00207	0	0	0	0	0	0	0
Acidaminococcus_intestini	0	0	0	0	0	0	0.03829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1156	0	0	0.01038	0	0	0	0.00223	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_unclassified	0	0	0.00986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phascolarctobacterium_succinatutens	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	1.78932	0	0	0	0	0	0	0	0	0	0	0.00185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeroglobus_geminatus	0	0	0	0	0	0	0	0	0	0	0	0	0.00069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05076	0	0	0	0	0	0	0	0	0	0.00178	0	0	0	0	0	0	0	0	0	0	0.00033	0	0.00496	0	0	0	0.0434	0	0.02524	0	0	0	0	0	0	0.02458	0	0	0	0	0	0.01053	0	0	0	1.05645	0	0.01821	0	0	0	0
Centipeda_periodontii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dialister_invisus	0	0	0	0	1.07582	0	0	0	0	0	0	0.00909	0	0	0	0	0.943	0	0	0	0	0.50825	0	0	0	0	0.00058	0	0.27683	0	0.11731	0	0	0	0.01666	0	1.28606	0	0	0.07332	0	0	0	0.27572	0	0.10839	3.75551	0.03606	9.39486	0	0.43788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07517	0	0.11175	0	0.01696	0	0.01768	0.04135	0	0	0	0	0.00656	0	0	0	0
