Taxonomy	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
M307	239582735.3	50573788.17	73491626.6	10413083.93	21764953.14	8952716.766	250375113.2	151772100.9	26439249.87	66002983.22	63069426.32	79469586.64
M308	19360281.51	15061873.83	19688941.88	16184308.53	19023805.17	19425329.31	20784989.15	21678290.18	21177147	19519987.4	23416822.01	20152744.36
M309	7847223.371	11510847.59	16064875.56	3129763.734	16095680.66	16256279.13	18865668.77	21715721.12	7119348.799	18247269.69	16259673.9	17448203.8
M310	4407584.825	6134119.37	28974691.51	54627197.72	15558454.34	92618023.65	13789629.55	8091726.457	10839533.86	48455792.97	9192621.579	8509713.466
M311	4669765.797	50587.02193	3495663.7	92109.04382	95995.04843	94790.13918	1756079.249	7338026.221	3295262.622	681692.3335	891388.685	2843958.46
M312	425533.0737	390790.143	346861.3547	2928245.415	7457591.145	9008861.943	1366897.509	452537.9153	695741.1343	743721.3261	397936.4308	443555.2316
M313	15086118.83	26125.4161	11049523.13	94134.79013	188522.7463	134603.1352	8836465.803	10332558.33	85489.96588	3701852.185	4824725.93	9773473.76
M314	62957.1272	37031.72561	60692.56791	33195127.42	11989549.38	20123090.52	70251.36167	57606.93409	53899.27128	52140.73911	48512.8417	50640.68941
M315	58556858.77	38069094.92	114355324.8	28411835.73	8578256.698	26635437.37	61561425.75	121285633.5	46821447.83	72067638.17	29208305.91	231484959.8
M316	154352324	4334666.991	154539761.4	361145303.2	67856442.77	287771958.3	123868336.4	147993857.2	113662472.9	173872859.7	118316516	181027045.4
M317	5156356.722	5363588.922	2916254.668	2974758.843	766085.8604	1739318.166	21591133.21	3822143.971	5824281.397	69681435.41	8734138.295	3387050.625
M318	169425117.2	198426937.2	569758598.3	860002415.7	685917640	907837881.8	78193862.31	87216065.26	493614756.2	510650534.7	20541875.04	663581251
M319	100347212.5	43077242.22	59696822.96	42077525.22	27398617.71	39248536.49	69045916.84	125540291.6	138834367.2	51218556.83	31585658.27	22453905.04
M320	2893831.269	11875198.18	8930274.756	2652468.539	6543467.157	5645221.814	15017075.31	8846374.414	6694452.801	11480135.28	5336580.578	3507994.949
